timestamp,choice,reward,load0,load1
07:56:33,0,10.00,0,0
07:56:34,1,0.50,1,0
07:56:36,0,10.00,1,1
07:56:38,0,10.00,2,1
07:56:39,0,10.00,3,1
07:56:41,0,10.00,4,1
07:56:42,0,10.00,5,1
07:56:44,0,10.00,6,1
07:56:46,0,10.00,7,1
07:56:47,0,10.00,8,1
07:56:49,0,10.00,9,1
07:56:50,0,10.00,10,1
07:56:52,0,10.00,11,1
07:56:54,0,10.00,12,1
07:56:55,0,10.00,13,1
07:56:57,0,1.00,14,1
07:56:59,1,0.50,15,1
07:57:00,1,10.00,15,2
07:57:02,0,0.50,15,3
07:57:04,1,10.00,16,3
07:57:06,0,0.50,16,4
07:57:07,1,10.00,17,4
07:57:09,0,0.50,17,5
07:57:11,1,10.00,18,5
07:57:12,0,0.50,18,6
07:57:14,1,10.00,19,6
07:57:16,1,10.00,19,7
07:57:17,1,10.00,19,8
07:57:19,1,10.00,19,9
07:57:20,1,10.00,19,10
07:57:22,1,10.00,19,11
07:57:24,1,10.00,19,12
07:57:25,1,10.00,19,13
07:57:27,1,10.00,19,14
07:57:28,1,10.00,19,15
07:57:30,1,10.00,19,16
07:57:32,1,10.00,19,17
07:57:33,1,0.50,19,18
07:57:35,1,0.50,19,19
07:57:37,1,0.50,19,20
07:57:38,0,10.00,19,21
07:57:40,1,0.50,20,21
07:57:42,0,10.00,20,22
07:57:43,0,10.00,21,22
07:57:45,0,10.00,22,22
07:57:47,0,10.00,23,22
07:57:48,0,10.00,24,22
07:57:50,0,10.00,25,22
07:57:51,0,10.00,26,22
07:57:53,0,10.00,27,22
07:57:55,0,10.00,28,22
07:57:56,0,10.00,29,22
07:57:58,0,10.00,30,22
07:58:00,0,10.00,31,22
07:58:01,0,10.00,32,22
07:58:03,0,1.00,33,22
07:58:05,1,0.50,34,22
07:58:06,0,0.50,34,23
07:58:08,0,0.50,35,23
07:58:10,1,10.00,36,23
07:58:12,0,0.50,36,24
07:58:13,1,10.00,37,24
07:58:15,0,0.50,37,25
07:58:17,1,10.00,38,25
07:58:18,0,0.50,38,26
07:58:20,1,10.00,39,26
07:58:22,1,10.00,39,27
07:58:23,1,10.00,39,28
07:58:25,1,10.00,39,29
07:58:26,1,10.00,39,30
07:58:28,1,10.00,39,31
07:58:30,1,10.00,39,32
07:58:31,1,10.00,39,33
07:58:33,1,10.00,39,34
07:58:34,1,10.00,39,35
07:58:36,1,10.00,39,36
07:58:38,1,1.00,39,37
07:58:40,1,0.50,39,38
07:58:41,1,0.50,39,39
07:58:43,1,0.50,39,40
07:58:45,0,10.00,39,41
07:58:46,0,10.00,40,41
07:58:48,0,10.00,41,41
07:58:50,0,10.00,42,41
07:58:51,0,10.00,43,41
07:58:53,0,10.00,44,41
07:58:54,0,10.00,45,41
07:58:56,0,10.00,46,41
07:58:58,0,10.00,47,41
07:58:59,0,10.00,48,41
07:59:01,0,10.00,49,41
07:59:02,0,10.00,50,41
07:59:04,0,10.00,51,41
07:59:06,0,10.00,52,41
07:59:07,0,10.00,53,41
07:59:09,0,1.00,54,41
07:59:11,0,0.50,55,41
07:59:12,1,10.00,56,41
07:59:14,0,0.50,56,42
07:59:16,1,10.00,57,42
07:59:18,0,0.50,57,43
07:59:19,1,10.00,58,43
07:59:21,1,10.00,58,44
07:59:22,1,10.00,58,45
07:59:24,1,10.00,58,46
07:59:26,1,10.00,58,47
07:59:27,1,10.00,58,48
07:59:29,1,10.00,58,49
07:59:30,1,10.00,58,50
07:59:32,1,10.00,58,51
07:59:34,1,10.00,58,52
07:59:35,1,10.00,58,53
07:59:37,1,10.00,58,54
07:59:38,1,10.00,58,55
07:59:40,1,10.00,58,56
07:59:42,1,10.00,58,57
07:59:43,1,1.00,58,58
07:59:45,1,0.50,58,59
07:59:47,1,0.50,58,60
07:59:49,0,10.00,58,61
07:59:50,0,10.00,59,61
07:59:52,0,10.00,60,61
07:59:53,0,10.00,61,61
07:59:55,0,10.00,62,61
07:59:57,0,10.00,63,61
07:59:58,0,10.00,64,61
08:00:00,0,10.00,65,61
08:00:01,0,10.00,66,61
08:00:03,0,10.00,67,61
08:00:05,0,10.00,68,61
08:00:06,0,10.00,69,61
08:00:08,0,10.00,70,61
08:00:09,0,10.00,71,61
08:00:11,0,10.00,72,61
08:00:13,0,10.00,73,61
08:00:14,0,1.00,74,61
08:00:16,1,0.50,75,61
08:00:18,0,0.50,75,62
08:00:19,1,10.00,76,62
08:00:21,0,0.50,76,63
08:00:23,1,10.00,77,63
08:00:25,0,0.50,77,64
08:00:26,1,10.00,78,64
08:00:28,1,10.00,78,65
08:00:29,1,10.00,78,66
08:00:31,1,10.00,78,67
08:00:33,1,10.00,78,68
08:00:34,1,10.00,78,69
08:00:36,1,10.00,78,70
08:00:37,1,10.00,78,71
08:00:39,1,10.00,78,72
08:00:41,1,10.00,78,73
08:00:42,1,10.00,78,74
08:00:44,1,10.00,78,75
08:00:46,1,10.00,78,76
08:00:47,1,10.00,78,77
08:00:49,1,10.00,78,78
08:00:50,1,0.50,78,79
08:00:52,1,0.50,78,80
08:00:54,1,0.50,78,81
08:00:56,0,10.00,78,82
08:00:57,0,10.00,79,82
08:00:59,0,10.00,80,82
08:01:00,0,10.00,81,82
08:01:02,0,10.00,82,82
08:01:04,0,10.00,83,82
08:01:05,0,10.00,84,82
08:01:07,0,10.00,85,82
08:01:08,0,10.00,86,82
08:01:10,0,10.00,87,82
08:01:12,0,10.00,88,82
08:01:13,0,10.00,89,82
08:01:15,0,10.00,90,82
08:01:16,0,10.00,91,82
08:01:18,0,10.00,92,82
08:01:20,0,1.00,93,82
08:01:22,0,0.50,94,82
08:01:23,1,10.00,95,82
08:01:25,0,0.50,95,83
08:01:27,1,10.00,96,83
08:01:28,1,10.00,96,84
08:01:30,1,10.00,96,85
08:01:31,1,10.00,96,86
08:01:33,1,10.00,96,87
08:01:35,1,10.00,96,88
08:01:36,1,10.00,96,89
08:01:38,1,10.00,96,90
08:01:39,1,10.00,96,91
08:01:41,1,10.00,96,92
08:01:43,1,10.00,96,93
08:01:44,1,10.00,96,94
08:01:46,1,10.00,96,95
08:01:47,1,10.00,96,96
08:01:49,1,10.00,96,97
08:01:51,1,10.00,96,98
08:01:52,1,10.00,96,99
08:01:54,1,10.00,96,100
08:01:56,1,1.00,96,101
08:01:57,1,0.50,96,102
08:01:59,0,10.00,96,103
08:02:01,0,10.00,97,103
08:02:02,0,10.00,98,103
08:02:04,0,10.00,99,103
08:02:05,0,10.00,100,103
08:02:07,0,10.00,101,103
08:02:09,0,10.00,102,103
08:02:10,0,10.00,103,103
08:02:12,0,10.00,104,103
08:02:13,0,10.00,105,103
08:02:15,0,10.00,106,103
08:02:17,0,10.00,107,103
08:02:18,0,10.00,108,103
08:02:20,0,10.00,109,103
08:02:21,0,10.00,110,103
08:02:23,0,10.00,111,103
08:02:25,0,10.00,112,103
08:02:26,0,0.50,113,103
08:02:28,1,1.00,114,103
08:02:30,0,0.50,114,104
08:02:31,1,10.00,115,104
08:02:33,0,0.50,115,105
08:02:35,1,10.00,116,105
08:02:36,1,10.00,116,106
08:02:38,1,10.00,116,107
08:02:40,1,10.00,116,108
08:02:41,1,10.00,116,109
08:02:43,1,10.00,116,110
08:02:44,1,10.00,116,111
