timestamp,choice,reward,load0,load1,traffic_type
15:35:51,0,10.00,0,0,0
15:35:51,1,10.00,0,0,0
15:35:52,0,10.00,0,0,0
15:35:52,1,10.00,0,0,0
15:35:53,0,10.00,0,0,0
15:35:53,1,10.00,0,0,0
15:35:54,0,10.00,0,0,0
15:35:54,1,10.00,0,0,0
15:35:55,0,10.00,0,0,0
15:35:55,1,10.00,0,0,0
15:35:56,0,10.00,0,0,0
15:35:56,1,10.00,0,0,0
15:35:57,0,10.00,0,0,0
15:35:58,1,10.00,0,0,0
15:35:58,0,10.00,0,0,0
15:35:59,1,10.00,0,0,0
15:35:59,0,10.00,0,0,0
15:36:00,1,10.00,0,0,0
15:36:00,0,10.00,0,0,0
15:36:01,1,10.00,0,0,0
15:36:01,0,10.00,0,0,0
15:36:02,1,10.00,0,0,0
15:36:02,0,10.00,0,0,0
15:36:03,1,10.00,0,0,0
15:36:03,0,10.00,0,0,0
15:36:04,1,10.00,0,0,0
15:36:04,0,10.00,0,0,0
15:36:05,1,10.00,0,0,0
15:36:06,0,10.00,0,0,0
15:36:06,1,10.00,0,0,0
15:36:07,0,10.00,0,0,0
15:36:07,1,10.00,0,0,0
15:36:08,0,10.00,0,0,0
15:36:08,1,10.00,0,0,0
15:36:09,0,10.00,0,0,0
15:36:09,1,10.00,0,0,0
15:36:10,0,10.00,0,0,0
15:36:10,1,10.00,0,0,0
15:36:11,0,10.00,0,0,0
15:36:11,1,10.00,0,0,0
15:36:12,0,10.00,0,0,0
15:36:12,1,10.00,0,0,0
15:36:13,0,10.00,0,0,0
15:36:13,1,10.00,0,0,0
15:36:14,0,10.00,0,0,0
15:36:15,1,10.00,0,0,0
15:36:15,0,10.00,0,0,0
15:36:16,1,10.00,0,0,0
15:36:16,0,10.00,0,0,0
15:36:17,1,10.00,0,0,0
15:36:17,0,10.00,0,0,0
15:36:18,1,10.00,0,0,0
15:36:18,0,10.00,0,0,0
15:36:19,1,10.00,0,0,0
15:36:19,0,10.00,0,0,0
15:36:20,1,10.00,0,0,0
15:36:20,0,10.00,0,0,0
15:36:21,1,10.00,0,0,0
15:36:21,0,10.00,0,0,0
15:36:22,1,10.00,0,0,0
15:36:23,0,10.00,0,0,0
15:36:23,1,10.00,0,0,0
15:36:24,0,10.00,0,0,0
15:36:24,1,10.00,0,0,0
15:36:25,0,10.00,0,0,0
15:36:25,1,10.00,0,0,0
15:36:26,0,10.00,0,0,0
15:36:26,1,10.00,0,0,0
15:36:27,0,10.00,0,0,0
15:36:27,1,10.00,0,0,0
15:36:28,0,10.00,0,0,0
15:36:28,1,10.00,0,0,0
15:36:29,0,10.00,0,0,0
15:36:29,1,10.00,0,0,0
15:36:30,0,10.00,0,0,0
15:36:30,1,10.00,0,0,0
15:36:31,0,10.00,0,0,0
15:36:32,1,10.00,0,0,0
15:36:32,0,10.00,0,0,0
15:36:33,1,10.00,0,0,0
15:36:33,0,10.00,0,0,0
15:36:34,1,10.00,0,0,0
15:36:34,0,10.00,0,0,0
15:36:35,1,10.00,0,0,0
15:36:35,0,10.00,0,0,0
15:36:36,1,10.00,0,0,0
15:36:36,0,10.00,0,0,0
15:36:37,1,10.00,0,0,0
15:36:37,0,10.00,0,0,0
15:36:38,1,10.00,0,0,0
15:36:38,0,10.00,0,0,0
15:36:39,1,10.00,0,0,0
15:36:39,0,10.00,0,0,0
15:36:40,1,10.00,0,0,0
15:36:41,0,10.00,0,0,0
15:36:41,1,10.00,0,0,0
15:36:42,0,10.00,0,0,0
15:36:42,1,10.00,0,0,0
15:36:43,0,10.00,0,0,0
15:36:43,1,10.00,0,0,0
15:36:44,0,10.00,0,0,0
15:36:44,1,10.00,0,0,0
15:36:45,0,10.00,0,0,0
15:36:45,1,10.00,0,0,0
15:36:46,0,10.00,0,0,0
15:36:46,1,10.00,0,0,0
15:36:47,0,10.00,0,0,0
15:36:47,1,10.00,0,0,0
15:36:48,0,10.00,0,0,0
15:36:48,1,10.00,0,0,0
15:36:49,0,10.00,0,0,0
15:36:50,1,10.00,0,0,0
15:36:50,0,10.00,0,0,0
15:36:51,1,10.00,0,0,0
15:36:51,0,10.00,0,0,0
15:36:52,1,10.00,0,0,0
15:36:52,0,10.00,0,0,0
15:36:53,1,10.00,0,0,0
15:36:53,0,10.00,0,0,0
15:36:54,1,10.00,0,0,0
15:36:54,0,10.00,0,0,0
15:36:55,1,10.00,0,0,0
15:36:55,0,10.00,0,0,0
15:36:56,1,10.00,0,0,0
15:36:56,0,10.00,0,0,0
15:36:57,1,10.00,0,0,0
15:36:57,0,10.00,0,0,0
15:36:58,1,10.00,0,0,0
15:36:59,0,10.00,0,0,0
15:36:59,1,10.00,0,0,0
15:37:00,0,10.00,0,0,0
15:37:00,1,10.00,0,0,0
15:37:01,0,10.00,0,0,0
15:37:01,1,10.00,0,0,0
15:37:02,0,10.00,0,0,0
15:37:02,1,10.00,0,0,0
15:37:03,0,10.00,0,0,0
15:37:03,1,10.00,0,0,0
15:37:04,0,10.00,0,0,0
15:37:04,1,10.00,0,0,0
15:37:05,0,10.00,0,0,0
15:37:05,1,10.00,0,0,0
15:37:06,0,10.00,0,0,0
15:37:07,1,10.00,0,0,0
15:37:07,0,10.00,0,0,0
15:37:08,1,10.00,0,0,0
15:37:08,0,10.00,0,0,0
15:37:09,1,10.00,0,0,0
15:37:09,0,10.00,0,0,0
15:37:10,1,10.00,0,0,0
15:37:10,0,10.00,0,0,0
15:37:11,1,10.00,0,0,0
15:37:11,0,10.00,0,0,0
15:37:12,1,10.00,0,0,0
15:37:12,0,10.00,0,0,0
15:37:13,1,10.00,0,0,0
15:37:14,0,0.50,0,0,0
15:37:14,1,10.00,0,0,0
15:37:15,0,0.50,0,0,0
15:37:15,1,10.00,0,0,0
15:37:16,0,0.50,0,0,0
15:37:17,1,10.00,0,0,0
15:37:17,0,0.50,0,0,0
15:37:18,1,10.00,0,0,0
15:37:19,0,0.50,0,0,0
15:37:19,1,10.00,0,0,0
15:37:20,0,0.50,0,0,0
15:37:20,1,10.00,0,0,0
15:37:21,0,0.50,0,0,0
15:37:22,1,10.00,0,0,0
15:37:22,0,0.50,0,0,0
15:37:23,1,10.00,0,0,0
15:37:24,0,0.50,0,0,0
15:37:24,1,10.00,0,0,0
15:37:25,0,0.50,0,0,0
15:37:25,1,10.00,0,0,0
15:37:26,0,0.50,0,0,0
15:37:27,1,10.00,0,0,0
