timestamp,choice,reward,load0,load1,traffic_type
15:49:25,0,10.00,0,0,0.0
15:49:27,0,10.00,0,0,0.0
15:49:29,0,10.00,0,0,0.0
15:49:30,0,10.00,0,0,0.0
15:49:32,0,10.00,0,0,0.0
15:49:33,0,10.00,0,0,0.0
15:49:35,0,10.00,0,0,0.0
15:49:36,0,10.00,0,0,0.0
15:49:38,0,10.00,0,0,0.0
15:49:40,0,10.00,0,0,0.0
15:49:41,0,10.00,0,0,0.0
15:49:43,0,10.00,0,0,0.0
15:49:44,0,10.00,0,0,0.0
15:49:46,0,10.00,0,0,0.0
15:49:47,0,10.00,0,0,0.0
15:49:49,0,10.00,0,0,0.0
15:49:51,0,10.00,0,0,0.0
15:49:52,0,10.00,0,0,0.0
15:49:54,0,10.00,0,0,0.0
15:49:55,0,10.00,0,0,0.0
15:49:57,0,10.00,0,0,0.0
15:49:58,0,10.00,0,0,0.0
15:50:00,0,10.00,0,0,0.0
15:50:02,0,10.00,0,0,0.0
15:50:03,0,10.00,0,0,0.0
15:50:05,0,10.00,0,0,0.0
15:50:06,0,10.00,0,0,0.0
15:50:08,0,10.00,0,0,0.0
15:50:09,0,10.00,0,0,0.0
15:50:11,0,10.00,0,0,0.0
15:50:13,0,10.00,0,0,0.0
15:50:14,0,10.00,0,0,0.0
15:50:16,0,10.00,0,0,0.0
15:50:17,0,10.00,0,0,0.0
15:50:19,0,0.50,0,0,0.0
15:50:21,0,0.50,0,0,0.0
15:50:22,0,0.50,0,0,0.0
15:50:24,0,0.50,0,0,0.0
15:50:26,0,0.50,0,0,0.0
15:50:28,0,0.50,0,0,0.0
15:50:30,0,2.00,0,0,1.0
15:50:31,1,10.00,0,0,1.0
15:50:33,1,10.00,0,0,1.0
15:50:34,1,10.00,0,0,1.0
15:50:36,1,10.00,0,0,1.0
15:50:37,1,0.00,0,0,1.0
15:50:39,1,10.00,0,0,1.0
